objectid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
testchelsea1,testchelsea1.jpg,Going to the Sun Road,Chelsea Codling,2019-08-13,"View from the top of the grade of Going to the Sun Road, Glacier National Park, Montana",parks; nature; montana; ,"Glacier National Park, Montana",48.72653,-113.729192,,,Image;StillImage,image/jpeg,eng,,
testchelsea2,testchelsea2.jpg,Two Medicine Lake Beach,Chelsea Codling,2019-08-13,"Late afternoon at the beach of Two Medicine Lake in Glacier National Park, Montana",parks; nature; lakes; montana,"Glacier National Park, Montana",48.481829,-113.376112,,,Image;StillImage,image/jpeg,eng,,
testchelsea3,testchelsea3.jpg,Wild Goose Island Lookout,Chelsea Codling,2019-08-13,"Wild Goose Island, Saint Mary Lake, Glacer National Park, Montana",parks; nature; lakes; islands;,"Glacier National Park, Montana",48.692443,-113.531882,,,Image;StillImage,image/jpeg,eng,,
